Description,Symbol,Unit,Values,,,,,,
Температура,Temp,C,-22,-20,-15,-10,-5,0,8
Число суток,Time,Day,0,5.23,12.3,21.1,30,60.4,49
,,,,,,,,,
Максимальная тепловая нагрузка Т-отборов турбины = 1.163 * Гкал,Q_Tm,MW,430.31,,,,,,
Расчетная температура,t_calc,C,-22,,,,,,
Максимальное давление в Т-отборе,p_Tm,bar,2,2,,,,,
,p_0,bar,240,,235,,,,
,t_0,C,540,,,,,,
Темпераура за промежуточным пароперегревателем,t_SH,C,540,,,,,,
Давление за промежуточным пароперегревателем,p_SH,bar,36.8,,,,,,
condenser pressure,p_C,bar,0.058,,,,,,
deaerator pressure 6-7 bar,p_D_,bar,6,,,,,,
number of High pressure feedwater heater,n_HP,,3,,,,,,
number of Low pressure feedwater heater,n_LP,,5,,,,,,
feedwater temperature,t_FW,C,265,,,,,,
electric power,N,MW,265,260,265,,,,
